"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110028","10","E2LS1 SUB ASSEMBLIES G        ","4","0","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110028-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110029","10","E2LS1 SUB ASSEMBLIES M        ","4","0","0.00","137.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110029-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110030","10","E2LS1 MAJ ASSEMBLY P1         ","4","0","0.00","323.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110030-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110031","10","E2LS1 MAJ ASSEMBLY P2         ","4","0","0.00","53.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110031-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110032","10","E2LS1 MAJ ASSEMBLY S1         ","4","0","0.00","255.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110032-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110033","10","E2LS1 MAJ ASSEMBLY S2         ","4","0","0.00","167.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110033-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRQ","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","116","","    E2L00-110049","10","E2LB1 MAJOR ASSEMBLY B2       ","8","0","0.00","190.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","9/19/2017","10/11/2017","11/7/2017","12/12/2017","    E2L00-110049-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRQ","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","116","","    E2L00-110050","10","E2LB1 MAJOR ASSEMBLY T1       ","8","0","0.00","15.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","9/19/2017","10/11/2017","11/7/2017","12/12/2017","    E2L00-110050-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","4","","    E2L00-110051","10","E2LB1 CONSTRUCT FIT BS 1      ","8","0","0.00","83.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110051-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","4","","    E2L00-110052","10","E2LB1 CONSTRUCT WELD BS 1     ","9","0","0.00","83.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110052-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","5","","    E2L00-110053","10","E2LB1 CONSTRUCT FIT BS 2      ","8","0","0.00","588.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110053-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","4","","    E2L00-110054","10","E2LB1 CONSTRUCT WELD BS 2     ","9","0","0.00","1119.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110054-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","5","","    E2L00-110055","10","E2LB1 CONSTRUCT FIT BS 3      ","8","0","0.00","517.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110055-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","4","","    E2L00-110056","10","E2LB1 CONSTRUCT WELD BS 3     ","9","0","0.00","1347.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110056-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","5","","    E2L00-110057","10","E2LB1 CONSTRUCT FIT BS 4      ","8","0","0.00","286.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110057-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRB","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","4","","    E2L00-110058","10","E2LB1 CONSTRUCT WELD BS 4     ","9","0","0.00","486.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/12/2017","1/16/2018","12/13/2017","3/28/2018","    E2L00-110058-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRQ","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","2","621","621","E2L  ","E2LB1 ","116","","    E2L00-110084","10","E2LB1 MAJOR ASSEMBLY B1       ","8","0","0.00","376.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","9/19/2017","10/11/2017","11/7/2017","12/12/2017","    E2L00-110084-10","0","0","0","0","0.00 "
"485","1","            ","            ","CRR","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","163","1","1","621","621","E2L  ","E2LB1 ","2","","    E2L00-163003","10","E2LB1 163 SUB ASSEMBLIES G    ","4","0","661.00","628.00","0.00","0.00","0.00","628.00","0.00","0.00","0.00","628.00","","","8/31/2017","9/25/2017","11/7/2017","12/7/2017","    E2L00-163003-10","0","0","628","628","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","180","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-180002","10","E2LS1 SUB FOUNDATIONS D       ","4","0","0.00","95.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-180002-10","0","0","0","0","0.00 "
