"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","5","D1S ","D1SD1 ","150","117326","10","880","    ","65","    D1SD1-R04300","LCS 19 D1SD1 OVLAP PLATE REMOV","        ","        ","0","100","0","4","4","","",""
"479","5","D1S ","D1SD2 ","150","117242","10","880","    ","90","    D1SD2-R03300","LCS 19 D1SD2 S3/4 3-1 TAPER   ","        ","        ","0","100","0","21","21","","",""
"479","5","D1S ","D1SD2 ","150","117339","10","880","    ","60","    D1SD2-R05500","LCS 19 D1SD2 REALIGN S3 VFRAME","        ","        ","0","100","0","0","0","","",""
"479","5","D1S ","D1SD3 ","150","117236","10","800","    ","125","    D1SD3-R02200","LCS 19 D1SD3 DEKPNL SHRINKAGE ","        ","        ","0","100","0","7","7","","",""
"479","5","D1S ","D1SD4 ","150","117205","10","890","    ","142","    D1SD4-R03100","LCS 19 D1SD4 M01 PNL CUT ERROR","        ","        ","0","100","0","0","0","","",""
"479","5","D1S ","D1SD2 ","167","117179","10","18","    ","99","    D1S00-167004","LCS 19 D1SD2 INST 167 CLOSURES","        ","        ","60","100","60","29.02","29.02","","",""
"479","5","D1S ","D1SD3 ","167","117108","10","18","    ","127","    D1S00-167005","LCS 19 D1SD3 INST 167 CLOSURES","        ","        ","75","100","75","41.5","41.5","","",""
"479","5","D1S ","D1SD1 ","167","117218","10","18","    ","69","    D1S00-167002","LCS 19 D1SD1 INST 167 CLOSURES","10/19/2015","        ","83","36","29.88","81.7","101.7","","",""
"479","5","D1S ","D1SD1 ","512","117080","10","18","    ","74","    D1S00-512007","LCS 19 D1SD1 INSTL 512 LOUVERS","        ","        ","14","100","14","4","4","","",""
"479","5","D1S ","D1SD2 ","512","117172","10","18","    ","103","    D1S00-512008","LCS 19 D1SD2 INSTL 512 LOUVERS","        ","        ","8","100","8","4","4","","",""
"479","5","D1S ","900","992","117041","10","20","    ","          ","      D1SD1-0901","LCS 19 D1SD1 BOAT TEMP SERV   ","        ","        ","0","100","0","227.98","227.98","","",""
"479","5","D1S ","900","992","117042","10","20","    ","          ","      D1SD2-0901","LCS 19 D1SD2 BOAT TEMP SERV   ","        ","        ","0","100","0","249.46","249.46","","",""
"479","5","D1S ","900","992","117043","10","20","    ","          ","      D1SD3-0901","LCS 19 D1SD3 BOAT TEMP SERV   ","        ","        ","0","100","0","72","72","","",""
"479","5","D1S ","900","992","117044","10","20","    ","          ","      D1SD4-0901","LCS 19 D1SD4 BOAT TEMP SERV   ","        ","        ","0","100","0","77","77","","",""
