"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","","","","","","","","","",""
"485","110","    11-14M095T40","PLATE, 9.5MM (15.2#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","32","8001.24","6","0","6","48007.44","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M100T40","PLATE, 10MM (16.08#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","33","7802.39","16","0","16","124838.24","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M120T40","PLATE, 12MM (19.3#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","34","9362.86","9","0","9","84265.74","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M125T40","PLATE, 12.5MM(20.1#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","35","9752.98","9","0","9","87776.82","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M150T40","PLATE, 15MM(24.12#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","37","12012.28","4","0","4","48049.12","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M200T40","PLATE, 20MM(32.16#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","40","16427.97","1","0","1","16427.97","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M210T40","PLATE, 21MM(33.77#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","41","11499.59","1","0","1","11499.59","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M250T40","PLATE, 25MM(40.2#) X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","42","20534.96","3","0","3","61604.88","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M560T26","PLATE, 56MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","44","38157.86","2","0","2","76315.72","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M048T40","PLATE, 4.77MM X 96""  ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","45","1322.79","6","0","6","7936.74","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M055T40","PLATE, 5.5MM X 96"" X ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","46","1525.23","35","0","35","53383.05","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M060T40","PLATE, 6MM X 96"" X 4 ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","47","1663.89","25","0","25","41597.25","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M065T40","PLATE, 6.5MM X 96"" X ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","48","1769.11","18","0","18","31843.98","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M070T40","PLATE, 7MM X 96"" X 4 ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","49","1905.19","19","0","19","36198.61","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M075T40","PLATE, 7.5MM X 96"" X ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","50","2041.28","12","0","12","24495.36","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M080T40","PLATE, 8MM X 96"" X 4 ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","51","2136.2","14","0","14","29906.8","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M110T40","PLATE, 11MM (17.69#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","52","8579.05","35","0","35","300266.75","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M090T40","PLATE, 9MM X 96"" X 4 ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","53","2403.23","5","0","5","12016.15","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M120T40","PLATE, 12MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","54","3096.26","19","0","19","58828.94","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M145T40","PLATE, 14.5MM X 8' X ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","55","3745.04","2","0","2","7490.08","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-15M200T40","PLATE, 20MM X 96"" X  ","PLATE     ","LOW SULFUR        ","   ","106024","ARCELORMITTA","766094","56","5165.58","8","0","8","41324.64","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    110-00-00003","SURCHARGE FOR HSLA-8 ","SURCHARGE ","                  ","   ","106024","ARCELORMITTA","766094","57","1","85000","0","85000","85000","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-32E100F11","PLATE, .625 (15.8MM) ","          ","                  ","   ","58214","PIERCE ALUMI","766104","1","3182.57","1","0","1","3182.57","10/26/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M160T40","PLATE, 16MM X 96"" X  ","PLATE     ","                  ","   ","1","IN HOUSE - O","766112","30","0","2","0","2","0","08/23/2017","100","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-623-WJ1","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","2","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-623-WJ2","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","3","0","1","0","1","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-623-WJ3","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","4","0","1","0","1","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-623-WJ4","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","5","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-623-WJ5","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","6","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-624-WJ1","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","7","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-624-WJ2","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","8","0","1","0","1","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-624-WJ3","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","9","0","1","0","1","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-624-WJ4","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","10","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"485","110","      63-624-WJ5","PLATE                ","          ","                  ","   ","105206","NORTHERN FAB","941131","11","0","2","0","2","0","09/22/2017","8","         ","            ","             ","","","","","","","","","","","",""
"SWBS: ","110","110M - HULL STEEL","GENERAL             ","          ","                  ","   ","      ","            ","    Total","for","SWBS    ","   110 :     2672307.89","","","","","","","","","","","","","","","","","","","",""
"485","127","    127-01-51401","TANK, CHILLED WATER  ","TANK      ","EXPANSION         ","   ","22079","SAMUEL PRESS","940948","1","7304","1","0","1","7304","08/31/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-51401-L11","CERTIFICATES, REGULA ","CERTIFICAT","REGULATORY        ","   ","22079","SAMUEL PRESS","940948","2","0","1","0","1","0","08/31/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-51401-L26","CERTIFICATE, IDENTIC ","CERTIFICAT","IDENTICALITY      ","   ","22079","SAMUEL PRESS","940948","3","0","1","0","1","0","08/31/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-51401-L68","CERTIFICATES, VENDOR ","CERTIFICAT","VENDOR            ","   ","22079","SAMUEL PRESS","940948","4","0","1","0","1","0","08/31/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","    127-01-53301","TANK, BATTLE DRESSIN ","TANK      ","                  ","   ","100979","BASSETT MECH","941010","1","15508","1","0","1","15508","08/03/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-53301-L68","CERTIFICATES, VENDOR ","CERTIFICAT","VENDOR            ","   ","100979","BASSETT MECH","941010","2","0","1","0","1","0","08/03/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-53301-L11","CERTIFICATES, REGULA ","CERTIFICAT","REGULATORY        ","   ","100979","BASSETT MECH","941010","3","0","1","0","1","0","08/03/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-53301-800","SIGHT GLASS, LEVEL I ","SIGHT GLAS","INDICATOR         ","   ","100979","BASSETT MECH","941010","4","0","1","0","1","0","08/03/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","127-01-53301-801","MANHOLE COVER KIT, C ","COVER     ","MANHOLE           ","   ","100979","BASSETT MECH","941010","5","0","1","0","1","0","08/03/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","    127-01-26103","TANK, MAIN PROPULSIO ","TANK      ","FUEL              ","   ","100788","FOX VALLEY M","941070","1","10437","2","0","2","20874","06/01/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","    127-01-25601","TANK, MPDE, JACKET W ","TANK      ","EXPANSION         ","   ","100788","FOX VALLEY M","941070","2","7582","2","0","2","15164","06/01/2018","8","         ","            ","             ","","","","","","","","","","","",""
"485","127","    127-01-26101","TANK, SSDG FUEL SERV ","TANK      ","                  ","   ","100788","FOX VALLEY M","941070","3","21812","1","0","1","21812","06/01/2018","8","         ","            ","             ","","","","","","","","","","","",""
