"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","",""
"485","167","167-01-00012-838","LUBE CHART, PLATFORM ","CHART     ","LUBE              ","   ","108207","970295","54","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00401-L09","DRAWINGS, FINAL, CER ","DRAWINGS  ","FINAL             ","NRE","45005","799547","2","0","1","0","1","0","07/28/2017","1","         ","            ","","",""
"485","167","167-01-00401-L48","TESTING, SHOCK, IAW  ","TESTING   ","SHOCK             ","NRE","45005","799547","3","0","1","0","1","0","07/28/2017","1","         ","            ","","",""
"485","167","167-01-00006-L48","TESTING, SHOCK, IAW  ","TESTING   ","SHOCK             ","NRE","108207","970295","28","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"      ","    ","                ","                     ","          ","                  ","   ","      ","      ","    ","       NRE","Total :-      ","              ","0","","","","","","","",""
"SWBS: ","167","167M - STRUCTURAL","CLOSURES            ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 167 :      488985.43","","","","","","","","",""
"485","169","    169-01-0010B","VENDOR SERVICES TO P ","SERVICE   ","VENDOR            ","   ","100876","940915","2","5525","1","0","1","5525","06/23/2017","8","         ","            ","","",""
"485","169","    169-02-00S99","HANGER DOOR SUB ASSE ","DOOR      ","HANGER            ","   ","105661","941026","1","1375","1","0","1","1375","11/10/2017","8","         ","            ","","",""
"485","169","    169-01-00007","AVIATION MISSION ZON ","HANGER    ","AVIATION          ","   ","108207","970296","1","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-811","HANGAR DOOR, LEFT HA ","DOOR      ","HANGER            ","   ","108207","970296","2","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-812","HANGAR DOOR, RIGHT H ","DOOR      ","HANGER            ","   ","108207","970296","3","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-813","HANGAR DOOR, UPPER L ","DOOR      ","HANGER            ","   ","108207","970296","4","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-814","HANGAR DOOR, UPPER R ","DOOR      ","HANGER            ","   ","108207","970296","5","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-815","HANGAR DOOR, UPPER D ","DOOR      ","HANGER            ","   ","108207","970296","6","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-816","HANGAR DOOR, #1 (BOT ","DOOR      ","HANGER            ","   ","108207","970296","7","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-817","HANGAR DOOR, #2 (NEA ","DOOR      ","HANGER            ","   ","108207","970296","8","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-818","HANGAR DOOR, #3 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","9","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-819","HANGAR DOOR, #4 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","10","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-820","HANGAR DOOR, #5 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","11","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-821","HANGAR DOOR, #6 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","12","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-822","HANGAR DOOR, #7 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","13","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-823","HANGAR DOOR, #8 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","14","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-824","HANGAR DOOR, #9 DOOR ","DOOR      ","HANGER            ","   ","108207","970296","15","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-825","HANGAR DOOR, #10 DOO ","DOOR      ","HANGER            ","   ","108207","970296","16","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-826","HANGAR DOOR, #11 DOO ","DOOR      ","HANGER            ","   ","108207","970296","17","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-827","HANGAR DOOR, #12 DOO ","DOOR      ","HANGER            ","   ","108207","970296","18","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-828","HANGAR DOOR, #13 DOO ","DOOR      ","HANGER            ","   ","108207","970296","19","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-829","HANGAR DOOR, #14 DOO ","DOOR      ","HANGER            ","   ","108207","970296","20","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-830","HANGAR DOOR, #15 DOO ","DOOR      ","HANGER            ","   ","108207","970296","21","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-831","HANGAR DOOR, #16 DOO ","DOOR      ","HANGER            ","   ","108207","970296","22","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-832","HANGAR DOOR, #17 DOO ","DOOR      ","HANGER            ","   ","108207","970296","23","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-833","HANGAR DOOR, #18 DOO ","DOOR      ","HANGER            ","   ","108207","970296","24","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-834","HANGAR DOOR, #19 DOO ","DOOR      ","HANGER            ","   ","108207","970296","25","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-835","HANGAR DOOR, ADHESIV ","DOOR      ","HANGER            ","   ","108207","970296","26","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-836","HANGAR DOOR, SHORT H ","DOOR      ","HANGER            ","   ","108207","970296","27","0","36","0","36","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-837","HANGAR DOOR, LONG HI ","DOOR      ","HANGER            ","   ","108207","970296","28","0","72","0","72","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-838","HANGAR DOOR, RETAINI ","DOOR      ","HANGER            ","   ","108207","970296","29","0","216","0","216","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-839","HANGAR DOOR, MOTOR A ","DOOR      ","HANGER            ","   ","108207","970296","30","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
"485","169","169-01-00007-840","HANGAR DOOR, L.H. DR ","DOOR      ","HANGER            ","   ","108207","970296","31","0","1","0","1","0","11/22/2018","8","         ","            ","","",""
