"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","  HPR-0001237-01","DETACHABLE LINK, 1-1 ","LINK      ","DETACHABLE        ","   ","105859","786858","1","18.7","50","30","20","374","02/22/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001237-02","DETACHABLE LINK, 1-1 ","LINK      ","DETACHABLE        ","   ","105859","786858","2","14.32","50","30","20","286.4","02/22/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09273-01","FILTER/SEPARATOR, GA ","FILTER    ","GAS               ","   ","104690","799054","1","3060","1","0","1","3060","07/16/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000456-01","VALVE, GATE, 1/4"" IP ","VALVE     ","GATE              ","   ","101589","799375","1","187","3","0","3","561","03/08/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09131-01","LUBE OIL FILTER/SEPA ","FILTER    ","SEPARATOR         ","   ","104690","799386","1","5050","1","0","1","5050","01/12/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09405-01","CONTROLLER           ","CONTROLLER","                  ","   ","106121","799392","1","1063.65","1","0","1","1063.65","02/02/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000386-01","HEATER, HOT POTABLE  ","HEATER    ","WATER             ","   ","45302","799413","1","884.5","1","0","1","884.5","04/07/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08125-03","EXPANSION TANK ALARM ","TANK      ","EXPANSION         ","   ","100627","860505","3","26.89","20","0","20","537.8","09/25/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08614-01","INTELLIGENT DEVICE I ","DEVICE    ","INTERFACE         ","   ","101139","860604","2","300","2","0","2","600","11/15/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08622-01","COMBINATION DETECTOR ","DETECTOR  ","COMBINATION       ","   ","101139","860604","3","17712.5","1","0","1","17712.5","11/15/2015","8","         ","            ","","","","","","","","","","","",""
"      ","2","             HPR","REPAIR/REPLACEMENT P ","BOX       ","CONNECTION        ","   ","104806","860653","1","0","1","0","1","0","12/15/2015","8","4002","            ","","","","","","","","","","","",""
