"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","110","11-13M140T40","PLATE, 14MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","14","3108.09","2","0","2","6216.18","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M160T40","PLATE, 16MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","16","3552.1","5","0","5","17760.5","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M170T40","PLATE, 17MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","17","3774.11","1","0","1","3774.11","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M200T40","PLATE, 20MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","18","4440.13","5","0","5","22200.65","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M250T40","PLATE, 25MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","19","5550.16","7","0","7","38851.12","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M320T40","PLATE, 32MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","20","7104.21","6","0","6","42625.26","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M360T40","PLATE, 36MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","21","7992.24","1","0","1","7992.24","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M500T40","PLATE, 50MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","22","10325.58","1","0","1","10325.58","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M050T40","PLATE, 5MM (8.04#) X 96"" X 40'","PLATE     ","                  ","   ","106024","766094","23","4436.27","15","0","15","66544.05","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M055T40","PLATE, 5.5MM(8.84#) X 96"" X 40","PLATE     ","                  ","   ","106024","766094","24","4872.83","10","0","10","48728.3","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M060T40","PLATE, 6MM(9.65#) X 96"" X 40',","PLATE     ","                  ","   ","106024","766094","25","5315.81","20","0","20","106316.2","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M065T40","PLATE, 6.5MM(10.45#) X 96"" X 4","PLATE     ","                  ","   ","106024","766094","26","5516.34","10","0","10","55163.4","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M070T40","PLATE, 7MM(11.26#) X 96"" X 40'","PLATE     ","                  ","   ","106024","766094","27","5932.49","12","0","12","71189.88","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M075T40","PLATE, 7.5MM(12.06#) X 96"" X 4","PLATE     ","                  ","   ","106024","766094","28","6355.77","16","0","16","101692.32","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M080T40","PLATE, 8MM(12.86#) X 96"" X 40'","PLATE     ","                  ","   ","106024","766094","29","6737.89","36","0","36","242564.04","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M085T40","PLATE, 8.5MM(13.67#) X 96"" X 4","PLATE     ","                  ","   ","106024","766094","30","7169.94","9","0","9","64529.46","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M090T40","PLATE, 9MM (14.47#) X 96"" X 40","PLATE     ","                  ","   ","106024","766094","31","7580.12","24","0","24","181922.88","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-14M095T40","PLATE, 9.5MM (15.2#) X 96"" X 4","PLATE     ","                  ","   ","106024","766094","32","8001.24","6","0","6","48007.44","09/20/2017","       /    /    ","            ","            ",""
"485","110","18-120006HR12","BAR, ROUND, 3/8"" DIA, STEEL AS","BAR       ","ROUND             ","   ","107033","766095","2","2.8","20","0","20","56","08/04/2017","       /    /    ","            ","            ",""
"485","110","110-01-S2LE1","VENDOR SERVICES TO CUT PARTS  ","SERVICE   ","VENDOR            ","   ","105057","941084","8","2022.5","1","0","1","2022.5","08/01/2017","       /    /    ","            ","            ",""
"485","110","S2LE1-P5-000-101","13M500 (DH36)                 ","          ","                  ","   ","105057","941084","9","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","110","S2LE2-P5-000-103","13M500 (DH36)                 ","          ","                  ","   ","105057","941084","10","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","110","E2LB1-F4-000-136","PLATE                         ","          ","                  ","   ","105057","941084","11","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","110","E2LB1-F5-000-118","13M360 (DH36)                 ","          ","                  ","   ","105057","941084","12","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","110","E2LB1-F6-000-115","13M360 (DH36)                 ","          ","                  ","   ","105057","941084","13","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","110","E2LB1-F7-000-137","PLATE                         ","          ","                  ","   ","105057","941084","14","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","127","127-01-51401","TANK, CHILLED WATER EXPANSION ","TANK      ","EXPANSION         ","   ","22079","940948","1","7304","1","0","1","7304","08/31/2018","       /    /    ","            ","            ",""
"485","127","127-01-51401-L11","CERTIFICATES, REGULATORY BODY ","CERTIFICAT","REGULATORY        ","   ","22079","940948","2","0","1","0","1","0","08/31/2018","       /    /    ","            ","            ",""
"485","127","127-01-51401-L26","CERTIFICATE, IDENTICALITY     ","CERTIFICAT","IDENTICALITY      ","   ","22079","940948","3","0","1","0","1","0","08/31/2018","       /    /    ","            ","            ",""
"485","127","127-01-51401-L68","CERTIFICATES, VENDOR WELDING  ","CERTIFICAT","VENDOR            ","   ","22079","940948","4","0","1","0","1","0","08/31/2018","       /    /    ","            ","            ",""
"485","127","127-01-53301","TANK, BATTLE DRESSING         ","TANK      ","                  ","   ","100979","941010","1","15508","1","0","1","15508","08/03/2018","       /    /    ","            ","            ",""
"485","127","127-01-53301-L68","CERTIFICATES, VENDOR WELDING  ","CERTIFICAT","VENDOR            ","   ","100979","941010","2","0","1","0","1","0","08/03/2018","       /    /    ","            ","            ",""
