"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  362086","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","218.15","02/13/2018","218.15","            ","            ",""
"4008","API  362087","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","383.94","02/13/2018","383.94","            ","            ",""
"4008","           ","     "," Project 0485   ","                     Total:   ","      ","    ","            ","            ","    ","82,221.59","          ","82,221.59","","",""
"4086","PUR   38455","22","    086-01-00003","SHIP INFORMATION BOOK         ","751304","1","CHAND LLC   ","941.2"," DOL","941.2","06/30/2017","941.2","            ","            ",""
"4086","PUR   38547","15","    086-01-00006","BOAT HANDLING AND STORAGE (BHS","751304","4","CHAND LLC   ","400.37"," DOL","647.63","07/28/2017","400.37","            ","            ",""
"4086","PUR   38547","15","    086-01-00010","OFFBOARD ORGANIC VEHICLE (OOV)","751304","5","CHAND LLC   ","247.26"," DOL","                ","07/28/2017","247.26","            ","            ",""
"4086","PUR   38669","3","    086-25-00001","ACQUISITION MAINTENANCE BIB   ","751321","1","CHAND LLC   ","150"," LO ","9,666.53","09/05/2017","150","            ","            ",""
"4086","PUR   38669","3","    086-01-00003","SHIP INFORMATION BOOK         ","751304","1","CHAND LLC   ","2,748.30"," DOL","                ","09/05/2017","2,748.30","            ","            ",""
"4086","PUR   38669","3","    086-01-00004","DAMAGE CONTROL BOOK           ","751304","2","CHAND LLC   ","5,359.16"," DOL","                ","09/05/2017","5,359.16","            ","            ",""
"4086","PUR   38669","3","    086-01-00005","DAMAGE CONTROL DIAGRAMS VALID ","751304","3","CHAND LLC   ","151.85"," DOL","                ","09/05/2017","151.85","            ","            ",""
"4086","PUR   38669","3","    086-01-00006","BOAT HANDLING AND STORAGE (BHS","751304","4","CHAND LLC   ","37.32"," DOL","                ","09/05/2017","37.32","            ","            ",""
"4086","PUR   38669","3","    086-01-00010","OFFBOARD ORGANIC VEHICLE (OOV)","751304","5","CHAND LLC   ","78.5"," DOL","                ","09/05/2017","78.5","            ","            ",""
"4086","PUR   38669","3","    086-01-00011","UNDERWAY REPLENISHMENT AND CAR","751304","6","CHAND LLC   ","954.83"," DOL","                ","09/05/2017","954.83","            ","            ",""
"4086","PUR   38669","3","    086-01-00012","TECHNICAL REPAIR STANDARDS    ","751304","7","CHAND LLC   ","74.61"," DOL","                ","09/05/2017","74.61","            ","            ",""
"4086","PUR   38669","3","    086-01-00013","POLLUTION ABATEMENT MANUAL    ","751304","8","CHAND LLC   ","37.32"," DOL","                ","09/05/2017","37.32","            ","            ",""
"4086","PUR   38669","3","    086-01-00016","MACHINE TOOLS AND SPECIAL SHIP","751304","10","CHAND LLC   ","37.32"," DOL","                ","09/05/2017","37.32","            ","            ",""
"4086","PUR   38669","3","    086-01-00018","HVAC/COLLECTIVE PROTECTION SYS","751304","11","CHAND LLC   ","37.32"," DOL","                ","09/05/2017","37.32","            ","            ",""
"4086","PUR   38763","39","    086-01-00003","SHIP INFORMATION BOOK         ","751304","1","CHAND LLC   ","2,386.88"," DOL","2,598.68","09/29/2017","2,386.88","            ","            ",""
"4086","PUR   38763","39","    086-01-00004","DAMAGE CONTROL BOOK           ","751304","2","CHAND LLC   ","56.88"," DOL","                ","09/29/2017","56.88","            ","            ",""
"4086","PUR   38763","39","    086-01-00005","DAMAGE CONTROL DIAGRAMS VALID ","751304","3","CHAND LLC   ","78.09"," DOL","                ","09/29/2017","78.09","            ","            ",""
"4086","PUR   38763","39","    086-01-00011","UNDERWAY REPLENISHMENT AND CAR","751304","6","CHAND LLC   ","76.83"," DOL","                ","09/29/2017","76.83","            ","            ",""
"4086","PUR   39152","110","    086-01-00003","SHIP INFORMATION BOOK         ","751304","1","CHAND LLC   ","617.43"," DOL","617.43","12/22/2017","617.43","            ","            ",""
"4086","           ","     "," Project 0485   ","                     Total:   ","      ","    ","            ","            ","    ","14,471.47","          ","14,471.47","","",""
"4102","JE2   20008","7","                ","WELD GAS ALLOCATION           ","      ","    ","            ","            "," DOL","1.78","01/27/2018","1.78","            ","            ",""
"4102","           ","     "," Project 0485   ","                     Total:   ","      ","    ","            ","            ","    ","1.78","          ","1.78","","",""
