"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4505","INV   26661","15","       55483-002","SLEEVE, PIPE, 3/8"" IPS, ALUM  ","449448","    ","            ","1"," EA ","                ","02/24/2017","-39","            ",""
"4505","INV   26661","15","551104120201-001","UNION, 1/4"" IPS, 400 PSI WOG, ","449458","    ","            ","2"," EA ","                ","02/24/2017","-92","            ",""
"4505","INV   26664","9","54F300-000000001","SPACER, 8"" ANSI CLASS 150 PATT","449727","    ","            ","4"," EA ","512.2","02/24/2017","512.2","            ",""
"4505","INV   26664","10","54F300-000000001","SPACER, 8"" ANSI CLASS 150 PATT","449729","    ","            ","4"," EA ","-512.2","02/24/2017","-512.2","            ",""
"4505","INV   26675","16","    505-03-M9034","WATER HAMMER ARRESTOR, 3/4"" NP","449449","    ","            ","1"," EA ","187.7","02/24/2017","21","            ",""
"4505","INV   26675","16","    505-03-C0021","COUPLING, 3/8"" IPS, SILB, 400 ","449447","    ","            ","3"," EA ","                ","02/24/2017","35.7","            ",""
"4505","INV   26675","16","    505-03-C9034","SLEEVE, PIPE, 3/8"" IPS, ALUM  ","449448","    ","            ","1"," EA ","                ","02/24/2017","39","            ",""
"4505","INV   26675","16","    505-03-U0059","UNION, 1/4"" IPS, 400 PSI WOG, ","449458","    ","            ","2"," EA ","                ","02/24/2017","92","            ",""
"4505","INV   26677","1","    505-03-A9053","ADAPTER, 1/2 SW X 1/2 MPT, SST","449538","    ","            ","11"," EA ","-1,485.00","02/24/2017","-1,485.00","            ",""
"4505","INV   26677","14","    505-03-F9090","FLANGE, 3"", NAVY, SWLDG       ","449522","    ","            ","1"," EA ","169.46","02/24/2017","120.46","            ",""
"4505","INV   26677","14","    505-03-T0116","TEE,SLDRD 3 NOM CU            ","449525","    ","            ","1"," EA ","                ","02/24/2017","43.94","            ",""
